symbol,name,ipo_year,sector,industry,summary_quote
OKE,"ONEOK, Inc.",n/a,Public Utilities,Oil & Gas Production,https://www.nasdaq.com/symbol/oke
ORCL,Oracle Corporation,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/orcl
ORAN,Orange,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/oran
IX,Orix Corp Ads,n/a,Finance,Diversified Financial Services,https://www.nasdaq.com/symbol/ix
PAGS,PagSeguro Digital Ltd.,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/pags
PANW,"Palo Alto Networks, Inc.",2012,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/panw
PH,Parker-Hannifin Corporation,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/ph
PAYC,"Paycom Software, Inc.",2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/payc
PBA,Pembina Pipeline Corp.,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pba
PTR,PetroChina Company Limited,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ptr
PBR,Petroleo Brasileiro S.A.- Petrobras,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pbr
PFE,"Pfizer, Inc.",n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pfe
PM,Philip Morris International Inc,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/pm
PSX,Phillips 66,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/psx
PSXP,Phillips 66 Partners LP,2013,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/psxp
PNW,Pinnacle West Capital Corporation,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/pnw
PINS,"Pinterest, Inc.",2019,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/pins
PXD,Pioneer Natural Resources Company,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pxd
PAA,"Plains All American Pipeline, L.P.",1998,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/paa
PNC,"PNC Financial Services Group, Inc. (The)",n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/pnc
PKX,POSCO,1994,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/pkx
PPG,"PPG Industries, Inc.",n/a,Basic Industries,Paints/Coatings,https://www.nasdaq.com/symbol/ppg
PPL,PPL Corporation,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ppl
PG,Procter & Gamble Company (The),n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/pg
PGR,Progressive Corporation (The),n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pgr
PLD,"Prologis, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pld
PRU,"Prudential Financial, Inc.",2001,Finance,Life Insurance,https://www.nasdaq.com/symbol/pru
PUK,Prudential Public Limited Company,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/puk
TLK,"PT Telekomunikasi Indonesia, Tbk",n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tlk
PEG,Public Service Enterprise Group Incorporated,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/peg
PSA,Public Storage,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa
DGX,Quest Diagnostics Incorporated,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/dgx
RJF,"Raymond James Financial, Inc.",n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/rjf
RTN,Raytheon Company,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/rtn
O,Realty Income Corporation,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/o
RF,Regions Financial Corporation,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/rf
RELX,RELX PLC,2015,Consumer Services,Publishing,https://www.nasdaq.com/symbol/relx
RSG,"Republic Services, Inc.",1998,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/rsg
RMD,ResMed Inc.,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/rmd
QSR,Restaurant Brands International Inc.,2014,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/qsr
RNG,"Ringcentral, Inc.",2013,Technology,EDP Services,https://www.nasdaq.com/symbol/rng
RIO,Rio Tinto Plc,2002,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/rio
ROK,"Rockwell Automation, Inc.",n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/rok
RCI,"Rogers Communication, Inc.",n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/rci
ROL,"Rollins, Inc.",n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/rol
ROP,"Roper Technologies, Inc.",1992,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/rop
RY,Royal Bank Of Canada,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/ry
RBS,Royal Bank Scotland plc (The),n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/rbs
RCL,Royal Caribbean Cruises Ltd.,1993,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/rcl
SPGI,S&P Global Inc.,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/spgi
CRM,Salesforce.com Inc,2004,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/crm
SAP,SAP SE,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sap
SSL,Sasol Ltd.,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ssl
SLB,Schlumberger N.V.,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/slb
SE,Sea Limited,2017,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/se
SRE,Sempra Energy,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/sre
NOW,"ServiceNow, Inc.",2012,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/now
SHW,Sherwin-Williams Company (The),n/a,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/shw
SHG,Shinhan Financial Group Co Ltd,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/shg
SHOP,Shopify Inc.,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/shop
SPG,"Simon Property Group, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/spg
SKM,"SK Telecom Co., Ltd.",n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/skm
WORK,"Slack Technologies, Inc.",2019,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/work
SNN,"Smith & Nephew SNATS, Inc.",n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/snn
SNAP,Snap Inc.,2017,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/snap
SNE,Sony Corp Ord,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/sne
SO,Southern Company (The),n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/so
SCCO,Southern Copper Corporation,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/scco
LUV,Southwest Airlines Company,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/luv
SPOT,Spotify Technology S.A.,2018,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/spot
S,Sprint Corporation,2013,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/s
SQ,"Square, Inc.",2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sq
SWK,"Stanley Black & Decker, Inc.",n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/swk
STT,State Street Corporation,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/stt
STE,STERIS plc,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ste
STM,STMicroelectronics N.V.,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/stm
SYK,Stryker Corporation,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/syk
SMFG,Sumitomo Mitsui Financial Group Inc,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/smfg
SUI,"Sun Communities, Inc.",1993,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sui
SLF,Sun Life Financial Inc.,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/slf
SU,Suncor Energy  Inc.,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/su
STI,"SunTrust Banks, Inc.",n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sti
SYF,Synchrony Financial,2014,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/syf
SYY,Sysco Corporation,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/syy
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1997,Technology,Semiconductors,https://www.nasdaq.com/symbol/tsm
TAK,Takeda Pharmaceutical Company Limited,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tak
TAL,TAL Education Group,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/tal
TGT,Target Corporation,n/a,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/tgt
TRP,TC Energy Corporation,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/trp
TEL,TE Connectivity Ltd.,n/a,Technology,Electronic Components,https://www.nasdaq.com/symbol/tel
FTI,TechnipFMC plc,n/a,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/fti
TDY,Teledyne Technologies Incorporated,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/tdy
TFX,Teleflex Incorporated,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/tfx
VIV,Telefonica Brasil S.A.,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/viv
TEF,Telefonica SA,1988,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tef
TU,TELUS Corporation,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tu
TS,Tenaris S.A.,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ts
TME,Tencent Music Entertainment Group,2018,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/tme
TXT,Textron Inc.,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/txt
AES,The AES Corporation,n/a,Basic Industries,Electric Utilities: Central,https://www.nasdaq.com/symbol/aes
BX,The Blackstone Group Inc.,2007,Finance,Investment Managers,https://www.nasdaq.com/symbol/bx
SCHW,The Charles Schwab Corporation,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/schw
COO,"The Cooper Companies, Inc.",n/a,Health Care,Ophthalmic Goods,https://www.nasdaq.com/symbol/coo
TRV,"The Travelers Companies, Inc.",n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/trv
TMO,Thermo Fisher Scientific Inc,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/tmo
TRI,Thomson Reuters Corp,n/a,Consumer Services,Publishing,https://www.nasdaq.com/symbol/tri
TIF,Tiffany & Co.,1987,Consumer Services,Consumer Specialties,https://www.nasdaq.com/symbol/tif
TJX,"TJX Companies, Inc. (The)",n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/tjx
TD,Toronto Dominion Bank (The),n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/td
TOT,Total S.A.,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tot
TSS,"Total System Services, Inc.",n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tss
TM,Toyota Motor Corp Ltd Ord,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/tm
TDG,Transdigm Group Incorporated,2006,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/tdg
TRU,TransUnion,2015,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/tru
TWLO,Twilio Inc.,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twlo
TWTR,"Twitter, Inc.",2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/twtr
TSN,"Tyson Foods, Inc.",n/a,Consumer Non-Durables,Meat/Poultry/Fish,https://www.nasdaq.com/symbol/tsn
USB,U.S. Bancorp,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/usb
UBER,"Uber Technologies, Inc.",2019,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/uber
UBS,UBS AG,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/ubs
UDR,"UDR, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/udr
UGI,UGI Corporation,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/ugi
UN,Unilever NV,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/un
UL,Unilever PLC,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ul
UNP,Union Pacific Corporation,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/unp
UPS,"United Parcel Service, Inc.",1999,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/ups
UTX,United Technologies Corporation,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/utx
UNH,UnitedHealth Group Incorporated,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/unh
UHS,"Universal Health Services, Inc.",n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/uhs
VFC,V.F. Corporation,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/vfc
VALE,VALE S.A.,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/vale
VLO,Valero Energy Corporation,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/vlo
VEEV,Veeva Systems Inc.,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/veev
VTR,"Ventas, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/vtr
VZ,Verizon Communications Inc.,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/vz
VICI,VICI Properties Inc.,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/vici
V,Visa Inc.,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/v
VST,Vistra Energy Corp.,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/vst
VMW,"Vmware, Inc.",2007,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/vmw
VNO,Vornado Realty Trust,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/vno
VMC,Vulcan Materials Company,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/vmc
WPC,W.P. Carey Inc.,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/wpc
WRB,W.R. Berkley Corporation,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/wrb
GWW,"W.W. Grainger, Inc.",n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/gww
WMT,Walmart Inc.,n/a,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/wmt
DIS,Walt Disney Company (The),n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/dis
WCN,"Waste Connections, Inc.",n/a,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/wcn
WM,"Waste Management, Inc.",n/a,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/wm
WAT,Waters Corporation,1995,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/wat
W,Wayfair Inc.,2014,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/w
WEC,"WEC Energy Group, Inc.",n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/wec
WCG,"WellCare Health Plans, Inc.",2004,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/wcg
WFC,Wells Fargo & Company,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wfc
WELL,Welltower Inc.,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/well
WST,"West Pharmaceutical Services, Inc.",n/a,Basic Industries,Specialty Chemicals,https://www.nasdaq.com/symbol/wst
WES,"Western Midstream Partners, LP",2012,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/wes
WAB,Westinghouse Air Brake Technologies Corporation,n/a,Capital Goods,Railroads,https://www.nasdaq.com/symbol/wab
WBK,Westpac Banking Corporation,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/wbk
WY,Weyerhaeuser Company,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/wy
WPM,Wheaton Precious Metals Corp.,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/wpm
WMB,"Williams Companies, Inc. (The)",n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/wmb
WIT,Wipro Limited,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/wit
WPP,WPP plc,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/wpp
XYL,Xylem Inc.,2011,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/xyl
YUMC,"Yum China Holdings, Inc.",2016,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/yumc
YUM,"Yum! Brands, Inc.",n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/yum
ZBH,"Zimmer Biomet Holdings, Inc.",n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/zbh
ZTS,Zoetis Inc.,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/zts
ZTO,ZTO Express (Cayman) Inc.,2016,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/zto
